threshold,auc_I,auc_II,mean_conf_correct,mean_conf_incorrect,conf_var_correct,conf_var_incorrect,day,set,subject
44.97487437,0.952192645,0.579365079,2.9474,3,1.1025,0,1,2,14
45.22613065,0.956508273,0.83125,3.7222,2,0.64506,0,1,2,14
43.2160804,0.96686822,0.753968254,3.5789,3,0.77008,0,1,2,14
44.97487437,0.846716688,0.726890756,3.1333,2.2,0.51556,0.56,1,2,14
41.45728643,0.963506599,0.666666667,3.2632,3,1.036,0,1,2,14
36.93467337,0.981816665,0.746031746,3.2105,2,0.37673,0,1,1,15
35.92964824,0.9451,0.523809524,2.8421,3,0.44875,0,1,1,15
37.43718593,0.66555,0.390756303,2.7333,3.2,0.32889,0.56,1,1,15
41.45728643,0.433621251,0.538461538,2.3636,2.2222,0.59504,0.61728,1,1,15
38.94472362,0.597916585,0.466666667,2.6154,2.7143,0.23669,0.20408,1,1,15
